game_date,team_short,matchup,outcome,full_name,MIN,PTS,REB,AST,STL,BLK,team_game_no
"OCT 25, 2023",ATL,@ CHA,L  110-116,Clint Capela,29,15,13,0,1,0,1
"OCT 27, 2023",ATL,.vs NYK,L  120-126,Clint Capela,28,13,13,2,0,1,2
"OCT 29, 2023",ATL,@ MIL,W  127-110,Clint Capela,23,12,12,1,1,0,3
"OCT 30, 2023",ATL,.vs MIN,W  127-113,Clint Capela,23,2,5,1,0,5,4
"NOV 01, 2023",ATL,.vs WAS,W  130-121,Clint Capela,21,10,11,0,1,0,5
"NOV 04, 2023",ATL,@ NOP,W  123-105,Clint Capela,28,17,7,0,0,2,6
"NOV 06, 2023",ATL,@ OKC,L  117-126,Clint Capela,21,6,12,0,1,2,7
"NOV 09, 2023",ATL,@ ORL,W  120-119,Clint Capela,26,6,11,4,0,1,8
"NOV 11, 2023",ATL,.vs MIA,L  109-117,Clint Capela,24,8,12,0,1,2,9
"NOV 14, 2023",ATL,@ DET,W  126-120,Clint Capela,27,8,8,1,2,3,10
"NOV 15, 2023",ATL,.vs NYK,L  114-116,Clint Capela,26,8,3,1,2,2,11
"NOV 17, 2023",ATL,.vs PHI,L  116-126,Clint Capela,29,17,11,2,1,1,12
"NOV 21, 2023",ATL,.vs IND,L  152-157,Clint Capela,19,14,5,1,0,2,13
"NOV 22, 2023",ATL,.vs BKN,W  147-145,Clint Capela,27,14,15,0,0,3,14
"NOV 25, 2023",ATL,@ WAS,W  136-108,Clint Capela,18,12,11,1,0,0,15
"NOV 26, 2023",ATL,@ BOS,L  103-113,Clint Capela,21,4,8,1,1,2,16
"NOV 28, 2023",ATL,@ CLE,L  105-128,Clint Capela,22,14,9,0,2,2,17
"NOV 30, 2023",ATL,@ SAS,W  137-135,Clint Capela,23,12,9,1,0,1,18
"DEC 02, 2023",ATL,@ MIL,L  121-132,Clint Capela,30,10,17,4,1,3,19
"DEC 06, 2023",ATL,.vs BKN,L  113-114,Clint Capela,29,9,12,1,0,2,20
"DEC 08, 2023",ATL,@ PHI,L  114-125,Clint Capela,30,15,16,2,0,1,21
"DEC 11, 2023",ATL,.vs DEN,L  122-129,Clint Capela,28,14,8,2,1,0,22
"DEC 13, 2023",ATL,@ TOR,L  128-135,Clint Capela,34,17,10,1,0,3,23
"DEC 15, 2023",ATL,@ TOR,W  125-104,Clint Capela,35,18,15,0,0,3,24
"DEC 18, 2023",ATL,.vs DET,W  130-124,Clint Capela,28,17,15,2,1,3,26
"DEC 20, 2023",ATL,@ HOU,W  134-127,Clint Capela,21,15,9,2,2,1,27
"DEC 22, 2023",ATL,@ MIA,L  113-122,Clint Capela,28,8,10,0,0,0,28
"DEC 23, 2023",ATL,.vs MEM,L  119-125,Clint Capela,30,20,12,1,0,2,29
"DEC 26, 2023",ATL,@ CHI,L  113-118,Clint Capela,27,13,5,1,0,1,30
"DEC 29, 2023",ATL,.vs SAC,L  110-117,Clint Capela,28,12,12,3,1,2,31
"DEC 31, 2023",ATL,@ WAS,W  130-126,Clint Capela,33,11,17,3,1,1,32
"JAN 03, 2024",ATL,.vs OKC,W  141-138,Clint Capela,25,12,14,0,0,3,33
"JAN 05, 2024",ATL,@ IND,L  116-150,Clint Capela,19,9,7,0,0,1,34
"JAN 07, 2024",ATL,@ ORL,L  110-117,Clint Capela,36,4,12,0,3,2,35
"JAN 12, 2024",ATL,.vs IND,L  108-126,Clint Capela,22,7,5,1,1,1,37
"JAN 13, 2024",ATL,.vs WAS,L  99-127,Clint Capela,24,4,8,0,0,1,38
"JAN 15, 2024",ATL,.vs SAS,W  109-99,Clint Capela,25,13,12,0,0,4,39
"JAN 17, 2024",ATL,.vs ORL,W  106-104,Clint Capela,27,12,3,0,1,0,40
"JAN 19, 2024",ATL,@ MIA,W  109-108,Clint Capela,22,9,11,0,0,1,41
"JAN 20, 2024",ATL,.vs CLE,L  95-116,Clint Capela,22,6,9,0,1,2,42
"JAN 22, 2024",ATL,@ SAC,L  107-122,Clint Capela,22,11,12,1,0,2,43
"JAN 24, 2024",ATL,@ GSW,L  112-134,Clint Capela,25,11,11,1,0,1,44
"JAN 26, 2024",ATL,.vs DAL,L  143-148,Clint Capela,25,10,8,2,0,1,45
"JAN 28, 2024",ATL,.vs TOR,W  126-125,Clint Capela,28,19,14,0,0,1,46
"JAN 30, 2024",ATL,.vs LAL,W  138-122,Clint Capela,24,13,12,1,1,1,47
"FEB 02, 2024",ATL,.vs PHX,W  129-120,Clint Capela,21,11,10,0,0,0,48
"FEB 03, 2024",ATL,.vs GSW,W  141-134,Clint Capela,25,17,15,2,0,0,49
"FEB 23, 2024",ATL,.vs TOR,L  121-123,Clint Capela,19,5,7,1,0,1,56
"FEB 25, 2024",ATL,.vs ORL,W  109-92,Clint Capela,17,4,7,0,0,0,57
"FEB 27, 2024",ATL,.vs UTA,W  124-97,Clint Capela,25,9,13,0,1,3,58
"FEB 29, 2024",ATL,@ BKN,L  97-124,Clint Capela,21,7,6,1,0,4,59
"MAR 02, 2024",ATL,@ BKN,L  102-114,Clint Capela,24,11,10,2,1,0,60
"MAR 05, 2024",ATL,@ NYK,W  116-100,Clint Capela,25,13,9,3,0,1,61
"MAR 06, 2024",ATL,.vs CLE,W  112-101,Clint Capela,23,8,9,3,0,0,62
"OCT 25, 2023",ATL,@ CHA,L  110-116,Bogdan Bogdanovic,24,7,4,4,3,0,1
"OCT 27, 2023",ATL,.vs NYK,L  120-126,Bogdan Bogdanovic,26,16,1,3,1,0,2
"OCT 29, 2023",ATL,@ MIL,W  127-110,Bogdan Bogdanovic,26,17,1,6,2,0,3
"OCT 30, 2023",ATL,.vs MIN,W  127-113,Bogdan Bogdanovic,20,8,1,4,1,0,4
"NOV 01, 2023",ATL,.vs WAS,W  130-121,Bogdan Bogdanovic,23,12,3,1,1,1,5
"NOV 04, 2023",ATL,@ NOP,W  123-105,Bogdan Bogdanovic,21,10,5,2,1,2,6
