team_id,game_id,team_game_no,matchup,game_date,team_wl,team_pts,team_reb,team_ast,team_stl,team_blk,team_fgm,team_fga,team_fta,team_oreb,team_dreb,team_tov,team_home,team_short,opp_short,opp_id,opp_game_no,opp_wl,opp_pts,opp_reb,opp_ast,opp_stl,opp_blk,opp_fgm,opp_fga,opp_fta,opp_oreb,opp_dreb,opp_tov,opp_home,team_poss,opp_poss
1610612753,0022300274,19,ORL vs. WAS,"DEC 01, 2023",W,130,44,35,6,8,46,89,33,10,34,14,1,ORL,WAS,1610612764,19,L,125,40,25,8,5,45,89,31,8,32,14,0,105.83880952380952,105.83880952380952
1610612764,0022300274,19,ORL vs. WAS,"DEC 01, 2023",L,125,40,25,8,5,45,89,31,8,32,14,0,WAS,ORL,1610612753,19,W,130,44,35,6,8,46,89,33,10,34,14,1,105.83880952380952,105.83880952380952
1610612738,0022300275,19,BOS vs. PHI,"DEC 01, 2023",W,125,46,25,10,8,39,77,36,10,36,20,1,BOS,PHI,1610612755,19,L,119,42,16,16,5,43,94,23,15,27,16,0,101.78040540540542,101.78040540540542
1610612755,0022300275,19,BOS vs. PHI,"DEC 01, 2023",L,119,42,16,16,5,43,94,23,15,27,16,0,PHI,BOS,1610612738,19,W,125,46,25,10,8,39,77,36,10,36,20,1,101.78040540540542,101.78040540540542
1610612761,0022300276,20,TOR vs. NYK,"DEC 01, 2023",L,106,48,32,7,6,44,100,17,19,29,12,1,TOR,NYK,1610612752,19,W,119,43,30,6,3,45,90,16,11,32,12,0,95.81780637254901,95.81780637254901
1610612752,0022300276,19,TOR vs. NYK,"DEC 01, 2023",W,119,43,30,6,3,45,90,16,11,32,12,0,NYK,TOR,1610612761,20,L,106,48,32,7,6,44,100,17,19,29,12,1,95.81780637254901,95.81780637254901
1610612742,0022300277,18,DAL vs. MEM,"DEC 01, 2023",L,94,42,27,9,5,34,92,21,13,29,11,1,DAL,MEM,1610612763,18,W,108,52,27,8,12,44,90,11,13,39,14,0,94.52511904761906,94.52511904761906
1610612763,0022300277,18,DAL vs. MEM,"DEC 01, 2023",W,108,52,27,8,12,44,90,11,13,39,14,0,MEM,DAL,1610612742,18,L,94,42,27,9,5,34,92,21,13,29,11,1,94.52511904761906,94.52511904761906
1610612740,0022300278,20,NOP vs. SAS,"DEC 01, 2023",W,121,42,26,8,6,42,85,29,10,32,11,1,NOP,SAS,1610612759,19,L,106,39,28,5,5,38,83,17,8,31,19,0,97.77402439024391,97.77402439024391
1610612759,0022300278,19,NOP vs. SAS,"DEC 01, 2023",L,106,39,28,5,5,38,83,17,8,31,19,0,SAS,NOP,1610612740,20,W,121,42,26,8,6,42,85,29,10,32,11,1,97.77402439024391,97.77402439024391
