team_id,game_id,team_game_no,matchup,game_date,team_wl,team_pts,team_reb,team_ast,team_stl,team_blk,team_fgm,team_fga,team_fta,team_oreb,team_dreb,team_tov,team_home,team_short,opp_short,opp_id,opp_game_no,opp_wl,opp_pts,opp_reb,opp_ast,opp_stl,opp_blk,opp_fgm,opp_fga,opp_fta,opp_oreb,opp_dreb,opp_tov,opp_home,team_poss,opp_poss
1610612746,22300924,63,LAC vs. MIL,"MAR 10, 2024",L,117,52,30,3,9,47,104,10,17,35,10,1,LAC,MIL,1610612749,65,W,124,41,28,5,6,43,87,27,7,34,7,0,97.31166666666667,97.31166666666667
1610612749,22300924,65,LAC vs. MIL,"MAR 10, 2024",W,124,41,28,5,6,43,87,27,7,34,7,0,MIL,LAC,1610612746,63,L,117,52,30,3,9,47,104,10,17,35,10,1,97.31166666666667,97.31166666666667
1610612737,22300925,64,ATL vs. NOP,"MAR 10, 2024",L,103,41,28,6,4,38,91,13,12,29,11,1,ATL,NOP,1610612740,64,W,116,43,32,8,7,43,75,22,4,39,12,0,92.75308377896613,92.75308377896613
1610612740,22300925,64,ATL vs. NOP,"MAR 10, 2024",W,116,43,32,8,7,43,75,22,4,39,12,0,NOP,ATL,1610612737,64,L,103,41,28,6,4,38,91,13,12,29,11,1,92.75308377896613,92.75308377896613
1610612748,22300926,64,MIA vs. WAS,"MAR 10, 2024",L,108,51,20,9,6,43,95,18,16,35,13,1,MIA,WAS,1610612764,64,W,110,40,35,5,5,39,81,22,6,34,15,0,97.80930731707318,97.80930731707318
1610612764,22300926,64,MIA vs. WAS,"MAR 10, 2024",W,110,40,35,5,5,39,81,22,6,34,15,0,WAS,MIA,1610612748,64,L,108,51,20,9,6,43,95,18,16,35,13,1,97.80930731707318,97.80930731707318
1610612752,22300927,64,NYK vs. PHI,"MAR 10, 2024",L,73,50,19,9,5,26,80,16,16,34,19,1,NYK,PHI,1610612755,64,W,79,47,20,9,5,31,80,14,14,33,13,0,84.92048894557823,84.92048894557823
1610612755,22300927,64,NYK vs. PHI,"MAR 10, 2024",W,79,47,20,9,5,31,80,14,14,33,13,0,PHI,NYK,1610612752,64,L,73,50,19,9,5,26,80,16,16,34,19,1,84.92048894557823,84.92048894557823
1610612753,22300928,65,ORL vs. IND,"MAR 10, 2024",L,97,46,18,7,3,33,88,29,13,33,12,1,ORL,IND,1610612754,65,W,111,46,20,5,10,38,78,33,5,41,12,0,97.50041423001949,97.50041423001949
1610612754,22300928,65,ORL vs. IND,"MAR 10, 2024",W,111,46,20,5,10,38,78,33,5,41,12,0,IND,ORL,1610612753,65,L,97,46,18,7,3,33,88,29,13,33,12,1,97.50041423001949,97.50041423001949
1610612758,22300929,63,SAC vs. HOU,"MAR 10, 2024",L,104,44,24,10,5,39,86,23,7,37,12,1,SAC,HOU,1610612745,64,W,112,42,23,8,1,39,84,27,6,36,12,0,99.54732558139534,99.54732558139534
1610612745,22300929,64,SAC vs. HOU,"MAR 10, 2024",W,112,42,23,8,1,39,84,27,6,36,12,0,HOU,SAC,1610612758,63,L,104,44,24,10,5,39,86,23,7,37,12,1,99.54732558139534,99.54732558139534
1610612739,22300930,64,CLE vs. BKN,"MAR 10, 2024",L,101,31,25,8,4,37,76,20,5,26,12,1,CLE,BKN,1610612751,65,W,120,40,33,7,3,42,79,20,8,32,12,0,90.02275834658187,90.02275834658187
1610612751,22300930,65,CLE vs. BKN,"MAR 10, 2024",W,120,40,33,7,3,42,79,20,8,32,12,0,BKN,CLE,1610612739,64,L,101,31,25,8,4,37,76,20,5,26,12,1,90.02275834658187,90.02275834658187
1610612760,22300931,64,OKC vs. MEM,"MAR 10, 2024",W,124,46,36,8,6,49,93,5,8,38,10,1,OKC,MEM,1610612763,65,L,93,39,21,8,4,32,78,27,8,31,16,0,95.79128205128205,95.79128205128205
1610612763,22300931,65,OKC vs. MEM,"MAR 10, 2024",L,93,39,21,8,4,32,78,27,8,31,16,0,MEM,OKC,1610612760,64,W,124,46,36,8,6,49,93,5,8,38,10,1,95.79128205128205,95.79128205128205
1610612747,22300932,66,LAL vs. MIN,"MAR 10, 2024",W,120,56,29,9,4,44,83,29,14,42,19,1,LAL,MIN,1610612750,65,L,109,38,27,8,6,41,97,13,11,27,11,0,100.05725264611137,100.05725264611137
1610612750,22300932,65,LAL vs. MIN,"MAR 10, 2024",L,109,38,27,8,6,41,97,13,11,27,11,0,MIN,LAL,1610612747,66,W,120,56,29,9,4,44,83,29,14,42,19,1,100.05725264611137,100.05725264611137
